data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9727633,466,MLI7920,7920,"25 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dan Na Ambassagou",,4,24,"Western Africa",Mali,Mopti,Koro,Kassa,Berdossou,14.7354,-3.0544,2,"Undisclosed Source","Local partner-Other","On 25 December 2022, JNIM militants ambushed Dan Na Ambassagou militiamen in the area of Berdossou (Koro, Mopti). Two militiamen were killed.",2,1673307074,MLI
9727634,466,MLI7921,7921,"25 December 2022",2022,1,Battles,"Armed clash","Military Forces of Mali (2021-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,"Western Africa",Mali,Mopti,Douentza,Mondoro,Mondoro,14.6762,-1.9513,2,Twitter,"New media","On 25 December 2022, FAMa soldiers killed two armed militant watchmen (suspected to be JNIM) near Mondoro (Douentza, Mopti).",2,1673307074,MLI
9727630,466,MLI7917,7917,"23 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Islamic State (Sahel)",7,27,"Western Africa",Mali,Gao,Ansongo,Bara,"Tin Tagart",15.9482,0.6991,1,Menastream,"Local partner-New media","On 23 December 2022, JNIM claimed to have killed three IS Sahel militants (unclear if civilians or combatants) in Tin Tagart (Ansongo, Gao).",3,1673307074,MLI
9727629,466,MLI7916,7916,"21 December 2022",2022,1,Battles,"Armed clash","Dan Na Ambassagou",,4,"JNIM: Group for Support of Islam and Muslims",,2,24,"Western Africa",Mali,Mopti,Bandiagara,"Lowol Gueou",Kargue,14.7947,-3.8127,1,"Le Pays Dogon; Undisclosed Source","Local partner-Other","On 21 December 2022, Dan Na Ambassagou militiamen and JNIM militants clashed in Kargue (Bandiagara, Mopti). Two militants were killed, and weapons, ammunition, a motorcycle, and equipment seized by the militiamen.",2,1673307074,MLI
9727623,466,MLI7910,7910,"20 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Docoumbo,14.3549,-3.6561,2,"Twitter; Undisclosed Source","Local partner-Other","On 20 December 2022, JNIM militants killed an elderly man and seized livestock in the village of Kokodiougou, in Doucoumbo commune, location coded as Docoumbo (Bandiagara, Mopti).",1,1673307074,MLI
9727624,466,MLI7911,7911,"20 December 2022",2022,1,"Violence against civilians",Attack,"Dan Na Ambassagou",,4,"Civilians (Mali)","Refugees/IDPs (Mali)",7,47,"Western Africa",Mali,Mopti,Mopti,Sio,Nianangaly,14.4559,-4.014,2,"Undisclosed Source","Local partner-Other","On 20 December 2022, Dan Na Ambassagou militiamen attacked IDPs from Bankass near Nianangaly (Mopti, Mopti). A resident from Guiwagou was killed and livestock and the IDPs dispersed.",1,1673307074,MLI
9727626,466,MLI7913,7913,"20 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Police Forces of Mali (2021-)",,1,12,"Western Africa",Mali,Tombouctou,Dire,Dire,Dire,16.257,-3.4013,1,"Undisclosed Source","Local partner-Other","On 20 December 2022, suspected JNIM militants ambushed a police patrol at the exit towards Tindirma in the town of Dire (Dire, Tombouctou). One policeman was killed, two others wounded, and an AK rifle captured by the assailants.",1,1673307074,MLI
9727618,466,MLI7905,7905,"19 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Dogon Ethnic Group (Mali)",7,27,"Western Africa",Mali,Mopti,Bankass,Segue,Konode,13.7822,-3.9693,1,"Le Pays Dogon; Studio Tamani",Subnational,"On 19 December 2022, presumed JNIM militants attacked the Dogon village of Konode (Bankass, Mopti). Between one and seven people were killed, others wounded, motorcycles, carts, and granaries burned, and a tricycle seized.",1,1673307074,MLI
9727621,466,MLI7908,7908,"19 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Mali (2021-)",,1,12,"Western Africa",Mali,Segou,Niono,Siribala,Nadani,14.019,-6.141,2,"Undisclosed Source","Local partner-Other","On 19 December 2022, JNIM militants and FAMa soldiers clashed in the area of Nadani (Niono, Segou). Casualties unknown.",0,1673307074,MLI
9727622,466,MLI7909,7909,"19 December 2022",2022,1,Battles,"Armed clash","Unidentified Armed Group (Mali)",,3,"Police Forces of Mali (2021-) Gendarmerie",,1,13,"Western Africa",Mali,Sikasso,Sikasso,Niena,Darabougou,11.428,-6.4359,2,"Facebook; Whatsapp","New media","On 19 December 2022, an unidentified armed group attacked a communal transport bus near the village of Darabougou on the road between Koumantou and Niena (Sikasso). Gendarmes aboard the bus responded to the attack and killed one of the assailants while the rest fled.",1,1673307074,MLI
9727583,466,MLI7870,7870,"18 December 2022",2022,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)","Idourfane Ethnic Group (Mali)",7,17,"Western Africa",Mali,Gao,Ansongo,"Tin Hama","Tin Hama",15.5821,0.8908,1,"Twitter; Undisclosed Source","Local partner-Other","On 18 December 2022, FAMa and Wagner forces raided the weekly market in the town of Tin Hama (Ansongo, Gao). One person was killed, another wounded (son of the former mayor), and twenty people from the Idourfane community were arrested and taken to Ansongo.",1,1673307074,MLI
9727615,466,MLI7902,7902,"18 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Islamic State (Sahel)",,2,22,"Western Africa",Mali,Gao,Ansongo,Talataye,Awaghat,16.2702,1.8133,2,"Menastream; Undisclosed Source; Whatsapp","Local partner-Other","On 18 December 2022, JNIM and IS Sahel militants clashed in Tikirkiwit, near Awaghat (Ansongo, Gao). JNIM routed the IS Sahel militants. Four JNIM militants were killed. JNIM claimed to have killed four IS Sahel militants.",8,1673307074,MLI
9727612,466,MLI7899,7899,"17 December 2022",2022,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)",,1,"Civilians (Mali)",,7,17,"Western Africa",Mali,Menaka,Menaka,Menaka,Menaka,15.9182,2.4022,1,Whatsapp,"New media","On 17 December 2022, a FAMa patrol shot and killed a young man in the town of Menaka (Menaka, Menaka).",1,1673307074,MLI
9727614,466,MLI7901,7901,"17 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dozo Communal Militia (Mali)",,4,24,"Western Africa",Mali,Segou,Niono,Siribala,Nadani,14.019,-6.141,1,Twitter,"New media","On 17 December 2022, Katiba Macina (JNIM) militants attacked a Donso militia position in the village of Nadani (Niono, Segou). One person was killed in the village.",1,1673307074,MLI
9727609,466,MLI7896,7896,"16 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Dawsahak Ethnic Group (Mali)",7,27,"Western Africa",Mali,Menaka,Menaka,Menaka,Taghatert,15.8577,1.9613,1,"Menastream; Undisclosed Source","Local partner-Other","On 16 December 2022, JNIM militants killed two people and abducted ten others from the Dawsahak community in the village of Taghatert (Menaka, Menaka). JNIM claimed responsibility and said it killed 5 IS Sahel militants in Inekar, likely referring to Inekar Ouest near Taghatert.",2,1673307074,MLI
9727610,466,MLI7897,7897,"16 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"ATEM Movement",,3,23,"Western Africa",Mali,Segou,Tominian,Timissa,Tassilima,13.6189,-4.0877,2,"Facebook; Mouvement ATEM; Undisclosed Source","Local partner-Other","On 16 December 2022, presumed JNM militants ambushed Dozo militiamen from the Atem Movement southeast of Tassilima (Tominian, Segou). Eight militiamen were killed and others severely wounded. The militiamen were securing the harvesting in the area when the attack took place.",8,1673307074,MLI
9727611,466,MLI7898,7898,"16 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-)","Military Forces of Mali (2021-)",8,28,"Western Africa",Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,"aBamako; AMAP; Essor; Twitter; UN MINUSMA; Undisclosed Source; Whatsapp","Local partner-Other","On 16 December 2022, JNIM militants attacked a MINUSMA patrol and subsequently clashed with a FAMa patrol in the town of Timbuktu (Tombouctou, Tombouctou). Two peacekeepers including a woman from the Nigerian contingent, one FAMa soldier, and one militant were killed. Four peacekeepers and one FAMA soldier were also wounded.",4,1673307074,MLI
9727582,466,MLI7869,7869,"15 December 2022",2022,1,Battles,"Armed clash","Military Forces of Mali (2021-)","Wagner Group",1,"Islamic State (Sahel)",,2,12,"Western Africa",Mali,Gao,Ansongo,Bourra,Kala,15.5478,0.4687,1,"Undisclosed Source","Local partner-Other","On 15 December 2022, FAMa and Wagner forces killed four IS Sahel militants aboard three motorcycles when they arrived in the Salata quarter in the village of Lellehoye-Gourma [Kala] (Ansongo, Gao).",4,1673307074,MLI
9727608,466,MLI7895,7895,"15 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dozo Communal Militia (Mali)",,4,24,"Western Africa",Mali,Segou,Macina,"Boky Were","Boky Were",14.0121,-5.6042,1,"Undisclosed Source","Local partner-Other","On 15 December 2022, JNIM militants and Donso militiamen clashed in Woya, in the commune of Boky Were, location coded as Boky Were (Macina, Segou). Five militiamen were killed and seven wounded.",5,1673307074,MLI
9727603,466,MLI7890,7890,"14 December 2022",2022,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)",,1,"Civilians (Mali)",,7,17,"Western Africa",Mali,Gao,Ansongo,Ansongo,Ansongo,15.6597,0.5022,1,"Undisclosed Source","Local partner-Other","On 14 December 2022, FAMa killed a male civilian and his mother in the town of Ansongo (Ansongo, Gao).",2,1673307074,MLI
9727604,466,MLI7891,7891,"14 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Labour Group (Mali); Arab Ethnic Group (Mali)",7,37,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Twitter; Undisclosed Source","Local partner-Other","On 14 December 2022, an unidentified armed group shot and killed an Arab merchant in the Chateau quarter in the city of Gao (Gao, Gao).",1,1673307074,MLI
9727605,466,MLI7892,7892,"14 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Dozo Communal Militia (Mali)",7,27,"Western Africa",Mali,Segou,Macina,Kolongo,Loutan-Coura,13.8587,-5.7288,1,"Studio Tamani; Twitter; Undisclosed Source","Local partner-Other","On 14 December 2022, JNIM militants killed a Donso militia chief (assumed off-duty) at his domicile in the village of Loutan-Coura (Macina, Segou).",1,1673307074,MLI
9727606,466,MLI7893,7893,"14 December 2022",2022,1,"Violence against civilians",Attack,"Police Forces of Mali (2021-)",,1,"Civilians (Mali)","Miners (Mali)",7,17,"Western Africa",Mali,Sikasso,Sikasso,"Finkolo Ganadougou",Finkolo,11.2287,-6.1975,2,Whatsapp,"New media","On 14 December 2022, overnight security forces fired gunshots at two artisanal miners while they were conducting artisanal extraction within the perimeter of the Robex Nampala Mine in the area of Finkolo (Sikasso, Sikasso). One miner was killed and the other wounded.",1,1673307074,MLI
9727601,466,MLI7888,7888,"12 December 2022",2022,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Gao,Ansongo,Talataye,Etengout,16.352,1.5616,2,"Undisclosed Source","Local partner-Other","On 12 December 2022, JNIM militants killed four civilians in the area of Etengout (Ansongo, Gao). The victims were accused of collaborating with IS Sahel militants.",4,1673307074,MLI
9727602,466,MLI7889,7889,"12 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dan Na Ambassagou",,4,24,"Western Africa",Mali,Mopti,Bankass,Segue,Digni,13.8918,-3.7546,1,"Studio Tamani; Twitter; Undisclosed Source","Local partner-Other","On 12 December 2022, JNIM militants attacked the village of Digni (Bankass, Mopti). Eight militiamen were killed and the village burned. JNIM claimed responsibility in an unofficial video showing weapons, ammo, and equipment seized.",8,1673307074,MLI
