id,relid,year,active_year,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
13085,MLI-1990-1-96-15,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"http://www.unhcr.org/refworld/topic,463af2212,469f2e792,469f38c2104,0.html, Lecocq 236",,,,,2,Bouressa town,"Bouressa town (near, Toximine, Mount Tigharghar, Kidal )",Gao region,Abeïbara cercle,20.013611,2.263056,POINT (2.263056 20.013611),158765,Mali,432,Africa,1,2,09/03/1990 00:00,09/04/1990 00:00,40,15,0,0,55,55,55
13092,MLI-1990-3-432-6,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,4,Gao region,Gao region,Gao region,,16.271667,-0.044722,POINT (-0.044722 16.271667),153000,Mali,432,Africa,1,1,08/06/1990 00:00,08/06/1990 00:00,0,0,9,0,9,9,9
13114,MLI-1990-1-96-5,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, 235",,,,,1,Tayekaren camp,Tayekaren camp,Gao region,Menaka cercle,16.485833,3.566944,POINT (3.566944 16.485833),153008,Mali,432,Africa,1,2,07/17/1990 00:00:00,07/21/1990 00:00:00,40,0,0,0,40,40,40
13155,MLI-1990-3-432-8,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecoq, ""Disputed Desert"", 306",,,,,2,Abeïbara town,Adrar des Iforgas location,Gao region,Abeïbara cercle,19.116667,1.75,POINT (1.75 19.116667),157324,Mali,432,Africa,1,1,07/29/1990 00:00:00,07/29/1990 00:00:00,0,0,2,0,2,2,2
284121,MLI-1990-1-800-0,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,1,"""Disputed Desert,2010-12-31,Chapter 6. Rebellion: al-Jebha""",Disputed Desert,31/12/2010,Chapter 6. Rebellion: al-Jebha,,5,Northern Mali,Northern Mali,,,20,-3,POINT (-3 20),158755,Mali,432,Africa,2,5,06/28/1990 00:00:00,12/31/1990 00:00:00,238,12,0,0,250,250,250
11934,MLI-1991-3-432-8,1991,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 1991-07-23,,,,Amnesty International,6,Mali,Mali,,,17,-4,POINT (-4 17),154433,Mali,432,Africa,2,5,06/01/1991 00:00,07/31/1991 00:00:00,0,0,50,0,50,50,50
12960,MLI-1991-3-432-1.2,1991,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"R, 1993-02-12",,,,Malian court,6,Mali,Mali,,,17,-4,POINT (-4 17),154433,Mali,432,Africa,2,5,03/01/1991 00:00,04/30/1991 00:00:00,0,0,53,0,53,53,53
12989,MLI-1991-3-432-6,1991,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Humphreys and ag Mohamed, ""Senegal & Mali"", 22",,,,,1,Lere town,Lere town,Tombouctou region,Niafunke cercle,15.7118,-4.9118,POINT (-4.9118 15.7118),152271,Mali,432,Africa,1,1,05/20/1991 00:00:00,05/20/1991 00:00:00,0,0,20,0,20,48,20
13017,MLI-1991-3-432-1.1,1991,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"R, 1993-02-12",,,,Malian court,1,Bamako city,Bamako city,Bamako region,Bamako cercle,12.65,-8,POINT (-8 12.65),147945,Mali,432,Africa,2,5,03/01/1991 00:00,04/30/1991 00:00:00,0,0,53,0,53,53,53
13084,MLI-1991-1-97-2,1991,FALSE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"Humphreys and ag Mohamed, ""Senegal & Mali"", 24,",,,,,1,Tombouctou town,Tombouctou town,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,12/12/1991 00:00,12/12/1991 00:00,0,9,0,3,12,12,12
20072,MLI-1991-1-10054-2,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,1,"""Africa Confidential Vol. 32, No 19,1991-09-27,Mali: The road to Timbuktu""","Africa Confidential Vol. 32, No 19",27/09/1991,Mali: The road to Timbuktu,,2,Tombouctou town,Tombouctou town (near),Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,2,08/27/1991 00:00:00,08/29/1991 00:00:00,1,15,8,0,24,24,0
20073,MLI-1991-1-10054-3,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,2,"""Keesings News Digest for July,1991-08-31,Tuareg rebellion p. 38327"";""Africa Confidential Vol 32, No 19,1991-09-27,Mali: The road to Timbuktu""","Keesings News Digest for July;Africa Confidential Vol 32, No 19",1991-08-31;1991-09-27,Tuareg rebellion p. 38327;Mali: The road to Timbuktu,,4,Tombouctou region,Tombouctou town (about 40 km from),Tombouctou region,,20,-3,POINT (-3 20),158755,Mali,432,Africa,1,1,07/27/1991 00:00:00,07/27/1991 00:00:00,0,0,0,0,0,15,0
20076,MLI-1991-1-10054-5,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,2,"""Africa Confidential Vol 32, No 19,1991-09-27,Mali: The road to Timbuktu"";""Keesings News Digest for July,1991-08-31,Tuareg rebellion p. 38327""","Africa Confidential Vol 32, No 19;Keesings News Digest for July",1991-09-27;1991-08-31,Mali: The road to Timbuktu;Tuareg rebellion p. 38327,,6,Mali,Mali,,,17,-4,POINT (-4 17),154433,Mali,432,Africa,2,4,05/01/1991 00:00,05/31/1991 00:00:00,0,21,0,0,21,21,0
20079,MLI-1991-1-10054-1,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,1,"""Africa Confidential Vol 32, No 19,1991-09-27,Mali: The road to Timbuktu""","Africa Confidential Vol 32, No 19",27/09/1991,Mali: The road to Timbuktu,,6,Mali,Mali,,,17,-4,POINT (-4 17),154433,Mali,432,Africa,1,1,08/28/1991 00:00:00,08/28/1991 00:00:00,0,0,0,0,0,64,0
20080,MLI-1991-1-10054-0,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,1,"""Africa Contemporary Records 1990-91,1991-12-31,Mali""",Africa Contemporary Records 1990-91,31/12/1991,Mali,,1,Goundam town,Goundam town,Tombouctou region,Goundam cercle,16.41453,-3.670749,POINT (-3.670749 16.41453),152993,Mali,432,Africa,1,1,05/20/1991 00:00:00,05/20/1991 00:00:00,0,2,1,0,3,3,3
20081,MLI-1991-1-10054-6,1991,TRUE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,1,"""Africa Research Bulletin November 1991,1991-12-31,Dissaffectioin of Touaregs p. 10354""",Africa Research Bulletin November 1991,31/12/1991,Dissaffectioin of Touaregs p. 10354,internal security ministry,2,Goundam town,Goundam town (near),Tombouctou region,Goundam cercle,16.41453,-3.670749,POINT (-3.670749 16.41453),152993,Mali,432,Africa,1,1,11/09/1991 00:00,11/09/1991 00:00,0,11,0,0,11,11,0
11935,MLI-1992-3-432-1,1992,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Africa Report July/August 1992,,,,witness from that village,2,Tombouctou town,Tombouctou town (near),Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,4,01/15/1992 00:00:00,01/31/1992 00:00:00,0,0,2,0,2,2,2
13003,MLI-1992-3-432-6,1992,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"A Peace pf Timbuktu"", 66",,,,,1,Goundam town,Goundam town,Tombouctou region,Goundam cercle,16.41453,-3.670749,POINT (-3.670749 16.41453),152993,Mali,432,Africa,1,4,06/07/1992 00:00,06/15/1992 00:00:00,0,0,7,0,7,7,7
13020,MLI-1992-3-432-7,1992,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Historical Dictionary of Mali"", Iv",,,,,5,Mali-Mauritania border,Mali/Mauritania border,,,15.508144,-5.505633,POINT (-5.505633 15.508144),152269,Mali,432,Africa,1,1,06/30/1992 00:00:00,06/30/1992 00:00:00,0,0,0,0,0,40,0
13032,MLI-1992-3-432-5,1992,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"R, 1992-05-22",,,,Aid for the Norwegian Church,1,Gossi town,Gossi town,Tombouctou region,Gourma-Rharous cercle,15.819607,-1.291135,POINT (-1.291135 15.819607),152278,Mali,432,Africa,1,1,05/20/1992 00:00:00,05/20/1992 00:00:00,0,0,10,0,10,12,10
13100,MLI-1992-3-432-4,1992,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Africa Report July/August 1992,,,,refugees,6,Mali,Mali,,,17,-4,POINT (-4 17),154433,Mali,432,Africa,2,4,02/08/1992 00:00,02/18/1992 00:00:00,0,0,58,0,58,58,58
13133,MLI-1992-1-X495-1,1992,FALSE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,-1,Africa Report July/August 1992,,,,,4,Tombouctou region,Tombouctou region,Tombouctou region,,20,-3,POINT (-3 20),158755,Mali,432,Africa,1,4,05/01/1992 00:00,05/31/1992 00:00:00,2,0,0,0,2,2,2
13167,MLI-1992-1-X495-3,1992,FALSE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,1,"""Historical Dictionary of Mali,1996-12-31,Historical dictionary of Mali""",Historical Dictionary of Mali,31/12/1996,Historical dictionary of Mali,,5,Northern Mali,Mali (north),,,20,-3,POINT (-3 20),158755,Mali,432,Africa,1,1,07/23/1992 00:00:00,07/23/1992 00:00:00,6,0,0,0,6,6,6
13171,MLI-1992-1-X495-2,1992,FALSE,372,Mali: Azawad,10054,10054,Government of Mali - FPLA,72,72,Government of Mali,934,934,FPLA,-1,Reuters 7/7-92,,,,,1,Dioura town,Dioura town,Mopti region,Tenenkou cercle,14.8252,-5.2547,POINT (-5.2547 14.8252),150830,Mali,432,Africa,1,1,07/06/1992 00:00,07/06/1992 00:00,1,0,0,0,1,1,1
13024,MLI-1993-3-432-2,1993,FALSE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"BBC, 1993-12-31",,,,Unified Movements and Fronts of the Azaouad via Radio France Internationale,5,Northern Mali,Mali (north),,,20,-3,POINT (-3 20),158755,Mali,432,Africa,1,1,12/27/1993 00:00:00,12/27/1993 00:00:00,0,0,0,0,0,3,0
11866,MLI-1994-3-432-8,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Gossi town,Gossi town,Tombouctou region,Gourma-Rharous cercle,15.819607,-1.291135,POINT (-1.291135 15.819607),152278,Mali,432,Africa,1,1,07/03/1994 00:00,07/03/1994 00:00,0,0,3,0,3,3,3
11869,MLI-1994-3-1374-9,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,BBC Monitoring Africa 25/11-94,,,,armed forces staff,1,Lelehoy town,Lelehoy town,Gao region,Ansongo cercle,15.5557,0.4944,POINT (0.4944 15.5557),152281,Mali,432,Africa,1,1,11/20/1994 00:00:00,11/20/1994 00:00:00,0,0,1,0,1,1,1
11885,MLI-1994-3-1576-2,1994,TRUE,603,MPGK  - Civilians,715,1070,MPGK  - Civilians,715,715,MPGK,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Tessit village,Tessit village,Gao region,Ansongo cercle,15.2238,0.2925,POINT (0.2925 15.2238),151561,Mali,432,Africa,1,2,05/26/1994 00:00:00,05/27/1994 00:00:00,0,0,13,0,13,13,13
11886,MLI-1994-3-432-7,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Tombouctou town,Tombouctou town,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,4,06/19/1994 00:00:00,06/29/1994 00:00:00,0,0,50,0,50,50,50
11953,MLI-1994-3-432-5,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecocq, 274",,,,,1,Anderanboukane town,Anderanboukane town,Gao region,Menaka cercle,15.4275,3.0175,POINT (3.0175 15.4275),151567,Mali,432,Africa,1,1,06/12/1994 00:00,06/12/1994 00:00,0,0,26,0,26,60,26
11965,MLI-1994-3-432-14,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"BBC, 1994-12-31",,,,Radio France Internationale,2,Niafunke town,Niafunke town (near),Tombouctou region,Niafunke cercle,15.9322,-3.9906,POINT (-3.9906 15.9322),152273,Mali,432,Africa,1,1,12/03/1994 00:00,12/03/1994 00:00,0,0,3,0,3,3,3
12015,MLI-1994-1-97-12,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,BBC Monitoring Africa 25/11-94,,,,armed forces staff,1,Lelehoy town,Lelehoy town,Gao region,Ansongo cercle,15.5557,0.4944,POINT (0.4944 15.5557),152281,Mali,432,Africa,1,1,11/20/1994 00:00:00,11/20/1994 00:00:00,0,6,0,0,6,6,6
12971,MLI-1994-3-432-13,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"BBC, 1994-12-31",,,,Radio France Internationale,2,Gharous town,Gharous town (near),Kidal region,Kidal cercle,18.466667,1.75,POINT (1.75 18.466667),155884,Mali,432,Africa,1,1,11/30/1994 00:00:00,11/30/1994 00:00:00,0,0,16,0,16,16,16
12975,MLI-1994-3-1374-1,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,"BBC, 1994-06-14",,,,Malian Defence Ministry,1,Bokoko town,Bokoko town,Tombouctou region,Niafunke cercle,15.874743,-3.397906,POINT (-3.397906 15.874743),152274,Mali,432,Africa,1,1,06/14/1994 00:00:00,06/14/1994 00:00:00,0,0,3,0,3,3,3
12976,MLI-1994-2-243-1,1994,TRUE,4780,"ARLA, FIAA, FPLA - MPA",5390,5390,"ARLA, FIAA, FPLA - MPA",3820,3820,"ARLA, FIAA, FPLA",521,521,MPA,-1,"MAR chronology, BBC Monitoring Service: Africa 17/6-94; AFP news agency, Paris, in French 0957 gmt 15 Jun 94",,,,,5,Northern Mali,Mali (north),,,20,-3,POINT (-3 20),158755,Mali,432,Africa,2,2,06/10/1994 00:00,06/12/1994 00:00,0,0,0,30,30,30,30
12977,MLI-1994-3-432-4,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Historical Dictionary of Mali"", Ixiv, AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,2,Tombouctou town,Tombouctou town (near),Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,2,2,06/16/1994 00:00:00,06/19/1994 00:00:00,0,0,8,0,8,160,8
12978,MLI-1994-3-1374-4,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,"Lococq, 276",,,,,1,Soumpi town,Soumpi town,Tombouctou region,Niafunke cercle,15.8436,-4.3255,POINT (-4.3255 15.8436),152272,Mali,432,Africa,1,4,07/02/1994 00:00,07/17/1994 00:00:00,0,0,12,0,12,12,12
12979,MLI-1994-3-1374-8,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,Reuters 6/11-94,,,,,1,Tombouctou town,Tombouctou town,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,11/04/1994 00:00,11/04/1994 00:00,0,0,1,0,1,1,1
12980,MLI-1994-3-432-10,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Gossi town,Gossi town,Tombouctou region,Gourma-Rharous cercle,15.819607,-1.291135,POINT (-1.291135 15.819607),152278,Mali,432,Africa,1,1,07/17/1994 00:00:00,07/17/1994 00:00:00,0,0,17,0,17,17,17
12985,MLI-1994-1-97-1,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"A Peace of Timbuktu, 72, AI,(1994): Mali, Ethnic conflict and killings of civilians (for date), Tor A. Benjaminsen ""SUPPLY-INDUCED SCARCITY"", 831",,,,,2,Fafa town,Fafa town (near),Gao region,Ansongo cercle,15.3177,0.7446,POINT (0.7446 15.3177),151562,Mali,432,Africa,1,1,05/30/1994 00:00:00,05/30/1994 00:00:00,0,3,0,0,3,3,3
12988,MLI-1994-3-1374-5,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,"R, 1994-07-28, AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,"government, AI",1,Bamba town,Bamba town,Gao region,Bourem cercle,17.033333,-1.4,POINT (-1.4 17.033333),154438,Mali,432,Africa,1,1,07/25/1994 00:00:00,07/25/1994 00:00:00,0,0,40,0,40,103,40
12992,MLI-1994-1-97-5,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"Reuters 9/10-94, BBC Monitoring Service: Africa 11/10-94; RTM radio, Bamako, in French 0700 gmt 10 Oct 94",,,,,1,Niafunke town,Niafunke town,Tombouctou region,Niafunke cercle,15.9322,-3.9906,POINT (-3.9906 15.9322),152273,Mali,432,Africa,1,1,10/04/1994 00:00,10/04/1994 00:00,0,0,3,0,3,3,3
12998,MLI-1994-1-97-6,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"Reuters 9/10-94, BBC Monitoring Service: Africa 11/10-94; RTM radio, Bamako, in French 0700 gmt 10 Oct 94",,,,,3,Bourem cercle,Bourem Cerlce,Gao region,Bourem cercle,16.908889,-0.356667,POINT (-0.356667 16.908889),153720,Mali,432,Africa,1,1,10/06/1994 00:00,10/06/1994 00:00,5,17,0,0,22,22,22
13001,MLI-1994-3-1374-7,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,"BBC, 1994-10-25",,,,"see ""what""",1,Gao town,Gao town,Gao region,Gao cercle,16.271667,-0.044722,POINT (-0.044722 16.271667),153000,Mali,432,Africa,1,2,10/21/1994 00:00:00,10/22/1994 00:00:00,0,0,13,0,13,38,13
13005,MLI-1994-3-432-6,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecocq, 274",,,,,3,Niafunke cercle,Niafunke-Lere road,Tombouctou region,Niafunke cercle,15.9322,-3.9906,POINT (-3.9906 15.9322),152273,Mali,432,Africa,1,1,06/13/1994 00:00:00,06/13/1994 00:00:00,0,0,25,0,25,25,25
13013,MLI-1994-3-432-1,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Menaka town,Menaka town,Gao region,Menaka cercle,15.9182,2.4022,POINT (2.4022 15.9182),152285,Mali,432,Africa,1,1,04/21/1994 00:00:00,04/21/1994 00:00:00,0,0,4,0,4,12,4
13021,MLI-1994-3-1374-6,1994,TRUE,567,FIAA - Civilians,522,1034,FIAA - Civilians,522,522,FIAA,9999,1,Civilians,-1,"R, 1994-10-22, BBC Monitoring Service: Africa 25/10-94; AFP news agency, Paris, in French 1613 gmt 21 Oct 94",,,,government statement,1,Ansongo town,Ansongo town,Gao region,Ansongo cercle,15.6597,0.5022,POINT (0.5022 15.6597),152282,Mali,432,Africa,1,2,10/19/1994 00:00:00,10/20/1994 00:00:00,0,0,0,0,0,3,0
13025,MLI-1994-1-97-3,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"Reuters 22/7-94, Reuters 28/7-94",,,,,5,Mali-Mauritania border,Mali/Mauritania border,,,15.508144,-5.505633,POINT (-5.505633 15.508144),152269,Mali,432,Africa,1,4,07/15/1994 00:00:00,07/28/1994 00:00:00,0,0,0,20,20,20,20
13029,MLI-1994-1-97-14,1994,TRUE,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"IHT 3-4/12-94, Reuters 2/12-94",,,,the military,1,Gourma-Rharous town,Gourma-Rharous town,Tombouctou region,Gourma-Rharous cercle,16.877778,-1.923056,POINT (-1.923056 16.877778),153717,Mali,432,Africa,1,1,12/01/1994 00:00,12/01/1994 00:00,0,16,0,0,16,16,16
13030,MLI-1994-3-432-2,1994,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,3,Menaka cercle,Menaka-Andéramboukane road,Gao region,Menaka cercle,16.66166,2.70226,POINT (2.70226 16.66166),153726,Mali,432,Africa,1,1,06/12/1994 00:00,06/12/1994 00:00,0,0,0,0,0,22,0
